week,writer,cik,company,date_created,platform,platform_url,sec_filing_url,sec_filing_date,legal_name,dba,city,industry,tech_sector,stage,series,crowdfunding_type_1,crowdfunding_type_2,security_type,rev_share_return_multiple,debt_interest_rate,pre_money_valuation,valuation_cap,discount_rate,valuation_cap_after_discount,valuations_combined,valuations_brackets,revenue_model,distrubution_model,business_type,has_scalable_business_model,margin_level,capital_intensity_level,accelerator_program,addressable_market,market_size_addressable,market_size_addressable_buckets,market_size_obtainable,market_size_obtainable_buckets,market_growth_rate,market_growth_rate_buckets,direct_competitors_buckets,differentiation_level_quality,differentiation_level_price,how_is_it_10x_better,barriers_to_entry,threat_of_substitute_products,has_social_impact,has_patents,has_users,has_paying_customers,total_revenue,total_revenue_brackets,monthly_burn,prior_rounds_total_amount_raised,prior_rounds_total_amount_raised_buckets,monthly_burn_rate,monthly_burn_rate_of_capital_buckets,development_phase,bio_development_phase,has_partnerships,relevant_partners,founders,has_shared_experience,has_female_founders,has_minority_founders,has_famous_founders,unique_universities,employees,relevent_advisors,notable_investors,spacer founder 1,founder_1_relevant_industry_experience,founder_1_exits,founder_1_age,founder_1_graduated_from_top_100,spacer founder 2,founder_2_relevant_industry_experience,founder_2_exits,founder_2_age,founder_2_graduated_from_top_100,spacer founder 3,founder_3_relevant_industry_experience,founder_3_exits,founder_3_age,founder_3_graduated_from_top_100,spacer founder 4,founder_4_relevant_industry_experience,founder_4_exits,founder_4_age,founder_4_graduated_from_top_100,spacer founder 5,founder_5_relevant_industry_experience,founder_5_exits,founder_5_age,founder_5_graduated_from_top_100,spacer founder 6,founder_6_relevant_industry_experience,founder_6_exits,founder_6_age,founder_6_graduated_from_top_100,spacer founder 7,founder_7_relevant_industry_experience,founder_7_exits,founder_7_age,founder_7_graduated_from_top_100,spacer founder 8,founder_8_relevant_industry_experience,founder_8_exits,founder_8_age,founder_8_graduated_from_top_100,spacer founder 9,founder_9_relevant_industry_experience,founder_9_exits,founder_9_age,founder_9_graduated_from_top_100,,,,,,avg_relevant_industry_experience,avg_relevant_industry_experience_brackets,sum_exits,sum_exits_brackets,avg_age,age_buckets,,Valuation/Cap,Discount Rate,Interest Rate,Return Multiple,Price Rating,Attributes - Security Type,%,Tags - Stage,,Addressable Market Size,Market Growth,Sum,Market Rating,Tags - Social Impact,,Relevant Industry Experience,Exits,Sum,Team Rating,Attributes - Founders Age,%,Attributes - # of Founders,%,Attributes - Employees,%,Attributes - Founders Worked Together,%,Tags - Female Founder,Tags - Minority Founder,Tags - Famous Founder,,Attributes - Revenue Model,%,Attributes - Distribution Model,%,Attributes - Margin,%,Attributes - Capital Intensity,%,,Has Paying Customers,Revenue,Capital Utilization,Capital Raised,Sum,Performance Rating,Attribute - Development Phase,%,,Diffrentiation Level Rating,Direct Competitors,Sum,Diffrentiation Rating,Attribute - has_patents,%,Attribute - barriers_to_entry,%,Attribute - threat_of_substitute_products,%,,,Sum,Overall Ratings (Scaled Sum)
,,1744757,KingsCrowd,05/27/2019 8:46 AM,NetCapital,https://netcapital.com/companies/kingscrowd,https://www.sec.gov/Archives/edgar/data/1744757/000166919120000096/xslC_X01/primary_doc.xml,3/6/2020,Kings Crowd LLC,KingsCrowd,,Financial & Insurance Products & Services,FinTech,Early,Seed,RegCF,,Equity - Common,,,"$3,062,871",,,,3062871,#NAME?,Recurring,B2B/B2C,High Growth,Yes,High,Low,No,The online private market,11500000000,#NAME?,2460000000,#NAME?,0.15,#NAME?,< 5,High,High,Obviously better than others,,,No,No,Yes,Yes,"$2,293",#NAME?,5049,192000,#NAME?,0.026296875,#NAME?,Pre-Profit,,Yes,3,1,Yes,No,No,No,2,15,6,0,,4,1,27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,1.00,,27.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.6%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.4,2.0,3.4,2.1,#NAME?,100%,1,45%,15,2%,Yes,28%,No,No,No,,Recurring,40%,B2B/B2C,28%,High,53%,Low,40%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,#NAME?,#NAME?,#NAME?,#NAME?,No,76%,0%,1%,0%,1%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Olivia,1790587,Fan Owned Club,,WeFunder,https://wefunder.com/fan.owned.club,https://disclosurequest.com/form/fan-owned-club-inc./0001670254-20-000237/?returnURL=,4/10/2020,"Fan Owned Club, Inc.",Fan Owned Club,"Nashville, TN","Media, Entertainment, Sports, & Publishing",Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$26,300,000",,,,26300000,#NAME?,Transactional,B2C,Life Style,No,High,Low,No,Fan-Owned European Football Clubs,4.885E+11,$250B-$500B,8686000000,$5B-$10B,0.043,#NAME?,40-50,Low,Low,Obviously worse than others,Low,High,No,No,No,No,$0,< $10K,3875,0,< $10K,1,90% - 100%,Pre-Revenue,,No,0,3,No,No,No,No,5,7,0,0,,0,0,40,Yes,,0,0,,Yes,,7,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 18 (4/27 - 5/3),Olivia,1810373,Ryca International,,StartEngine,https://www.startengine.com/ryca,https://www.sec.gov/Archives/edgar/data/1810373/000166516020000394/xslC_X01/primary_doc.xml,4/23/2020,"Ryca International, Inc.","Ryca International, Inc.","Los Angeles, CA",Consumer Goods & Services,Non-Tech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$8,000,000",20%,"$6,400,000",6400000,#NAME?,Transactional,B2B2C,Life Style,No,High,High,No,Oral Care,28000000000,$25B-$50B,1960000000,$1B-$5B,0.05,#NAME?,5-10,High,Low,Similar to others,Low,High,No,Yes,No,No,$0,< $10K,20874,760000,#NAME?,0.027,< 10%,Pre-Revenue,,Yes,2,2,No,No,No,No,2,5,0,0,,0,0,46,Yes,,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,0.00,,46.00,#NAME?,,#NAME?,3.1,,,#NAME?,Convertible Note,13.3%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,2.9,1.0,3.9,2.5,#NAME?,100%,2,46%,5,13%,No,72%,No,No,No,,Transactional,60%,B2B2C,7%,High,53%,High,59%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Revenue,20%,,3.0,#NAME?,#NAME?,#NAME?,Yes,23%,Low,56%,High,80%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Olivia,1805056,NanoVMs,,Republic,https://republic.co/nanovms,https://www.sec.gov/Archives/edgar/data/1805056/000180505620000001/xslC_X01/primary_doc.xml,4/23/2020,"NanoVMs, Inc.",NanoVMs,"San Fransisco, CA","Security, Cybersecurity, & Defense",HardwareTech,Early,Seed,RegCF,,SAFE,,,,"$12,000,000",10%,"$10,800,000",10800000,#NAME?,Recurring,B2B,High Growth,Yes,High,High,Yes,Global Cybersecurity,1.73E+11,$100B-$250B,2600000000,$1B-$5B,0.119,#NAME?,10-20,High,Low,Obviously better than others,High,High,No,Yes,Yes,Yes,"$32,100",$10K - $50K,61669,1860000,#NAME?,0.033,< 10%,Pre-Profit,,Yes,2,1,No,No,No,No,1,9,0,2,,8,0,39,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,0.00,,39.00,#NAME?,,#NAME?,2.1,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.8,1.0,2.8,1.6,#NAME?,100%,1,46%,9,6%,No,72%,No,No,No,,Recurring,40%,B2B,24%,High,53%,High,59%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,Yes,23%,High,43%,High,80%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Olivia,1808208,Furry Fortune Movie,,StartEngine,https://www.startengine.com/furry-fortune-the-movie-llc,https://www.sec.gov/Archives/edgar/data/1808208/000166516020000371/xslC_X01/primary_doc.xml,4/23/2020,"Furry Fortune The Movie, LLC ",Furry Fortune The Movie,"Sherman Oaks, CA","Media, Entertainment, Sports, & Publishing",Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,,"$880,000",,,0,#NAME?,Transactional,B2C,Life Style,No,Low,High,No,US Films,38600000000,$25B-$50B,149000000,$100M-$250M,0.135,#NAME?,> 50,Low,Low,Obviously worse than others,Low,High,No,No,No,No,$0,< $10K,1249,0,< $10K,1,90% - 100%,Pre-Revenue,,No,0,1,No,No,No,No,0,5,0,0,,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,,0.00,,#DIV/0!,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,4.2,1.0,5.2,3.5,#NAME?,100%,1,46%,5,13%,No,72%,No,No,No,,Transactional,60%,B2C,41%,Low,47%,High,59%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Revenue,20%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Olivia,1713938,Authentically American,,NextSeed,https://www.nextseed.com/offerings/authentically-american,https://www.sec.gov/Archives/edgar/data/1713938/000171393820000001/xslC_X01/primary_doc.xml,4/21/2020,"Authentically American, LLC",Authentically American,"Brentwood, TN",Apparel & Fashion,Non-Tech,Early,Seed,RegCF,,SAFE,,,,"$7,500,000",20%,"$6,500,000",6500000,#NAME?,Transactional,B2C,Life Style,No,Low,Low,No,US Ecommerce Apparel,1.23736E+11,$100B-$250B,6185000,< $25M,0.044,#NAME?,20-30,Low,Low,Similar to others,Low,High,Yes,No,Yes,Yes,"$637,826",$500K - $1M,69891,480000,$100K - $500K,0.145,10% - 20%,Pre-Profit,,Yes,2,2,Yes,Yes,No,No,2,11,0,0,,9,0,49,Yes,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,0.00,,49.00,#NAME?,,#NAME?,3.1,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,,1.4,1.0,2.4,1.3,#NAME?,100%,2,46%,11,3%,Yes,28%,Yes,No,No,,Transactional,60%,B2C,41%,Low,47%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Francis,1692429,ARdVRk Technologies,,SeedInvest,https://www.seedinvest.com/ardvrk.technologies/seed,https://www.sec.gov/Archives/edgar/data/1692429/000169242920000004/xslC_X01/primary_doc.xml,4/1/2020,"ARdVRk Technologies, Inc.",ARdVRk Technologies,"Princeton, NJ",Healthcare & Pharmaceuticals,HealthTech,Early,Seed,RegCF,RegD 506(C),Convertible Note,,,,"$10,000,000",20%,"$8,000,000",8000000,#NAME?,Recurring,B2B2C,High Growth,Yes,High,Low,No,AR & VR Healthcare Platform,4.15E+11,$250B-$500B,1574860424,$1B-$5B,0.29,#NAME?,20-30,Low,Low,Similar to others,High,High,No,No,Yes,Yes,"$256,679",#NAME?,31174,0,#NAME?,1,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,2,3,5,0,,20,0,60,Yes,,10,0,38,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,,0.00,,49.00,#NAME?,,#NAME?,3.1,,,#NAME?,Convertible Note,13.3%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,2.4,1.0,3.4,2.1,#NAME?,100%,1,46%,3,9%,No,72%,No,No,No,,Recurring,40%,B2B2C,7%,High,53%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,High,43%,High,80%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Francis,1799979,Buzzn,,Republic,https://republic.co/buzzn,https://www.sec.gov/Archives/edgar/data/1799979/000179997920000002/xslC_X01/primary_doc.xml,4/20/2020,"Urban Wag, LLC",Buzzn,"Brooklyn, New York",Pet Food and Services,Non-Tech,Early,Seed,RegCF,,SAFE,,,,"$4,000,000",0%,"$4,000,000",4000000,#NAME?,Transactional,B2C,Life Style,No,High,Low,No,CBD for Pets and People,4500000000,$1B-$5B,200000000,$100M-$250M,0.2,#NAME?,20-30,High,Low,Similar to others,Low,Low,No,No,Yes,Yes,"$55,724",#NAME?,12734.41,0,#NAME?,1,#NAME?,Pre-Profit,,Yes,3,2,No,Yes,Yes,No,3,2,3,0,,10,0,33,No,,10,0,38,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,0.00,,35.50,#NAME?,,#NAME?,1.0,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,2.0,1.0,3.0,1.7,#NAME?,100%,2,46%,2,16%,No,72%,Yes,Yes,No,,Transactional,60%,B2C,41%,High,53%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,Low,19%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Francis,1793813,Pathbooks,,Republic,https://republic.co/pathbooks,https://www.sec.gov/Archives/edgar/data/1793813/000179381320000001/xslC_X01/primary_doc.xml,4/20/2020,Living a Book Inc,Pathbooks,"San Jose, CA","Education, Training, & Coaching",EdTech,Early,Seed,RegCF,,SAFE,,,,"$5,000,000",15%,"$4,250,000",4250000,#NAME?,Recurring,B2C,High Growth,Yes,Low,Low,Yes,Interactive Storytelling Platform for Children,80000000000,$50B-$100B,300000000,$250M-$500M,0.15,#NAME?,20-30,High,Low,Obviously better than others,Low,High,No,No,Yes,Yes,"$3,370",#NAME?,2116.41,0,#NAME?,1,#NAME?,Pre-Profit,,Yes,3,1,No,No,Yes,No,2,1,8,0,,1,0,30,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,0.00,,30.00,#NAME?,,#NAME?,2.6,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.1,1.0,2.1,1.1,#NAME?,100%,1,46%,1,8%,No,72%,No,Yes,No,,Recurring,40%,B2C,41%,Low,47%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
Week 18 (4/27 - 5/3),Francis,1808106,EvolveHer,,StartEngine,https://www.startengine.com/evolveher,https://www.sec.gov/Archives/edgar/data/1808106/000166516020000332/xslC_X01/primary_doc.xml,4/20/2020,"EvolveHer, Inc",EvolveHer,"Chicago, IL","Education, Training, & Coaching",MarketplaceTech,Early,Seed,RegCF,,Equity - Common,,,"$4,500,000",,,,4500000,#NAME?,Transactional,B2B2C,Life Style,No,Low,Low,No,Hub & Marketplace for Women,1000000000,$1B-$5B,500000000,$500M-$1B,0.05,#NAME?,> 50,High,Low,Similar to others,Low,High,No,No,Yes,Yes,"$367,187",#NAME?,13896.83,0,#NAME?,1,#NAME?,Pre-Profit,,No,0,1,No,Yes,No,No,1,7,0,0,,12,0,38,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,,0.00,,38.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,2.1,1.0,3.1,1.9,#NAME?,100%,1,46%,7,4%,No,72%,Yes,No,No,,Transactional,60%,B2B2C,7%,Low,47%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
