writer,cik,company,date_created,platform,platform_url,sec_filing_url,sec_filing_date,legal_name,dba,industry,tech_sector,stage,series,crowdfunding_type_1,crowdfunding_type_2,security_type,rev_share_return_multiple,debt_interest_rate,pre_money_valuation,valuation_cap,discount_rate,valuation_cap_after_discount,valuations_combined,valuations_brackets,revenue_model,distrubution_model,business_type,has_scalable_business_model,margin_level,capital_intensity_level,accelerator_program,market_size_total,market_size_total_buckets,market_size_addressable,market_size_addressable_buckets,market_growth_rate,market_growth_rate_buckets,direct_competitors,differentiation_level_quality,differentiation_level_price,how_is_it_10x_better,barriers_to_entry,threat_of_substitute_products,has_social_impact,has_patents,has_users,has_paying_customers,total_revenue,total_revenue_brackets,monthly_burn,prior_rounds_total_amount_raised,prior_rounds_total_amount_raised_buckets,monthly_burn_rate,monthly_burn_rate_of_capital_buckets,development_phase,bio_development_phase,has_partnerships,relevant_partners,founders,has_shared_experience,has_female_founders,has_minority_founders,has_famous_founders,unique_universities,employees,relevent_advisors,notable_investors,spacer founder 1,founder_1_relevant_industry_experience,founder_1_previous_startups,founder_1_exits,founder_1_age,founder_1_graduated_from_top_100,spacer founder 2,founder_2_relevant_industry_experience,founder_2_previous_startups,founder_2_exits,founder_2_age,founder_2_graduated_from_top_100,spacer founder 3,founder_3_relevant_industry_experience,founder_3_previous_startups,founder_3_exits,founder_3_age,founder_3_graduated_from_top_100,spacer founder 4,founder_4_relevant_industry_experience,founder_4_previous_startups,founder_4_exits,founder_4_age,founder_4_graduated_from_top_100,spacer founder 5,founder_5_relevant_industry_experience,founder_5_previous_startups,founder_5_exits,founder_5_age,founder_5_graduated_from_top_100,spacer founder 6,founder_6_relevant_industry_experience,founder_6_previous_startups,founder_6_exits,founder_6_age,founder_6_graduated_from_top_100,spacer founder 7,founder_7_relevant_industry_experience,founder_7_previous_startups,founder_7_exits,founder_7_age,founder_7_graduated_from_top_100,spacer founder 8,founder_8_relevant_industry_experience,founder_8_previous_startups,founder_8_exits,founder_8_age,founder_8_graduated_from_top_100,spacer founder 9,founder_9_relevant_industry_experience,founder_9_previous_startups,founder_9_exits,founder_9_age,founder_9_graduated_from_top_100,,,,
Olivia,1778006,Weeds Never Sleep,7/3/2019 11:08,TruCrowd,https://us.trucrowd.com/equity/offer-summary/WeedsNeverSleep,https://disclosurequest.com/form/weeds-never-sleep-llc/0001778006-19-000001/?returnURL=,6/25/2019,Weeds Never Sleep LLC,Weeds Never Sleep or HotZot,Consumer Goods,AgriTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$2,500,000 ",0%,"$2,500,000 ",2500000,#NAME?,Transactional,B2C,Life Style,No,High,High,No,"$16,000,000,000 ",#NAME?,"$1,000,000,000 ",#NAME?,2.70%,#NAME?,6,High,Low,Similar to others,Low,High,No,Yes,No,No,0,#NAME?,10483,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,No,0,2,No,Yes,No,No,3,2,3,0,,9,0,0,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1720258,StorEn Technologies,7/4/2019 8:55,StartEngine,https://www.startengine.com/storen-technologies,https://www.sec.gov/Archives/edgar/data/1720258/000166516019000762/xslC_X01/primary_doc.xml,7/3/2019,StorEn Technologies,StorEn Technologies,Consumer Goods,CleanTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$28,100,000 ",,,,28100000,#NAME?,Transactional,B2C,Life Style,No,High,High,Yes,"$8,000,000,000 ",#NAME?,"$400,000,000 ",#NAME?,38.00%,#NAME?,10,High,Low,Similar to others,High,High,Yes,No,No,No,0,#NAME?,40745,"$659,800 ",#NAME?,6.18%,#NAME?,Pre-Revenue,,Yes,2,2,Yes,No,No,No,5,4,7,0,,1,0,0,53,No,,15,2,2,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1753677,Palouse Ag-Drone Services,7/11/2019 14:41,Razitall,https://www.razitall.com/pitch/the-ag-drone-an-eye-in-the-sky-for-farmers,https://disclosurequest.com/form/palouse-ag-drone-services-llc/0001668287-18-000070/?returnURL=,10/4/2018,Palouse Ag-Drone Services LLC,The Ag-Drone,Farming,AgriTech,Early,Pre-Seed,RegCF,,CAFES,,,,"$400,000 ",0%,"$400,000 ",400000,#NAME?,Transactional,B2C,Life Style,No,High,High,No,"$5,800,000,000 ",#NAME?,"$1,200,000,000 ",#NAME?,31.40%,#NAME?,7,Low,High,Similar to others,Low,High,No,No,No,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,No,0,1,No,No,No,No,0,1,0,0,,0,0,0,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1765620,El Tinieblo International,7/13/2019 10:14,StartEngine,https://www.startengine.com/el-tinieblo-international,https://www.sec.gov/Archives/edgar/data/1765620/000166516019000777/xslC_X01/primary_doc.xml,7/12/2019,"El Tinieblo International, Inc. ",El Tinieblo International,Wine & Spirits,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$7,500,000 ",,,,7500000,#NAME?,Transactional,B2B2C,Life Style,No,Low,High,No,"$1,500,000,000 ",#NAME?,"$242,000,000 ",#NAME?,13.00%,#NAME?,240,High,Low,Similar to others,Low,High,No,No,No,No,0,#NAME?,564,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,Yes,1,1,No,No,No,No,1,9,1,0,,0,2,0,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1777377,Spero CBD,7/16/2019 10:34,StartEngine,https://www.startengine.com/spero-cbd,https://www.sec.gov/Archives/edgar/data/1777377/000166516019000782/xslC_X01/primary_doc.xml,7/15/2019,Noble Naturals,Spero CBD,Cannabis and CBD,Non-Tech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$6,000,000 ",20%,"$4,800,000 ",4800000,#NAME?,Transactional,B2C,Life Style,Yes,High,High,No,"$308,000,000,000 ",#NAME?,"$270,000,000 ",#NAME?,44.00%,#NAME?,25,High,Low,Similar to others,High,High,No,No,No,Yes,140,#NAME?,2380,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,4,No,Yes,No,No,3,8,1,0,,0,1,0,42,No,,15,0,0,,No,,0,0,0,42,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1654124,Rayton Solar,7/17/2019 10:21,StartEngine,https://www.startengine.com/raytonone,https://www.sec.gov/Archives/edgar/data/1654124/000166516019000786/xslC_X01/primary_doc.xml,7/17/2019,Rayton Solar Inc.,Rayton,Consumer Goods,HardwareTech,Early,Series A,RegCF,,Convertible Note,,,,"$50,000,000 ",30%,"$35,000,000 ",35000000,#NAME?,Transactional,B2B,Life Style,No,High,High,No,"$463,000,000,000 ",#NAME?,"$650,000,000 ",#NAME?,11.00%,#NAME?,11,High,High,Obviously better than others,High,Low,No,Yes,No,No,0,#NAME?,214774,"$9,300,000 ",#NAME?,2.31%,#NAME?,Pre-Product,,No,0,1,No,No,Yes,No,1,5,4,1,,11,1,0,34,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1782663,The Human Baton,7/18/2019 13:06,NetCapital,https://netcapital.com/companies/thb,https://www.sec.gov/Archives/edgar/data/1782663/000166919119000236/xslC_X01/primary_doc.xml,7/18/2019,"THB Holdco, LLC.",The Human Baton,Entertainment,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Preferred,,,"$13,916,596 ",,,,13916596,#NAME?,Recurring,B2B,Life Style,No,High,High,No,"$2,200,000,000,000 ",#NAME?,"$100,000,000 ",#NAME?,3.50%,#NAME?,100,Low,Low,Similar to others,High,High,No,No,No,No,0,#NAME?,4492,$0 ,#NAME?,100.00%,#NAME?,Pre-Product,,No,0,2,Yes,No,No,No,3,11,0,0,,15,0,0,50,No,,15,0,0,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1782651,Thalia Brands,7/18/2019 13:17,StartEngine,https://www.startengine.com/thalia,https://www.startengine.com/thalia,7/18/2019,"Thalia Brands, Inc.",Thalia Brands,Consumer Goods,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$8,000,000 ",,,,8000000,#NAME?,Transactional,B2C,Life Style,No,High,High,No,"$1,000,000,000 ",#NAME?,"$400,000,000 ",#NAME?,3.00%,#NAME?,10,High,Low,Similar to others,Low,High,No,Yes,No,Yes,2183575,#NAME?,21203,$0 ,#NAME?,100.00%,#NAME?,Profitable,,Yes,1,2,No,Yes,No,No,1,14,1,0,,0,2,0,48,No,,0,0,0,17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1781955,Dome Audio,7/29/2019 19:49,NetCapital,https://netcapital.com/companies/dome-audio,https://www.sec.gov/Archives/edgar/data/1781955/000166919119000259/xslC_X01/primary_doc.xml,7/29/2019,"Dome Audio, Inc.",Dome Audio,Consumer Elecronics,MediaTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$16,000,000 ",,,,16000000,#NAME?,Transactional,B2C,Life Style,No,Low,High,No,"$10,520,000,000 ",#NAME?,"$26,300,000 ",#NAME?,5.90%,#NAME?,10,Low,Low,Similar to others,Low,High,No,Yes,No,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,Yes,3,1,No,No,Yes,No,1,7,1,0,,20,0,0,55,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1706939,kulaBrands,8/5/2019 19:23,TruCrowd,https://us.trucrowd.com/equity/offer-summary/kulaBrands,https://www.sec.gov/Archives/edgar/data/1706939/000170693919000002/xslC_X01/primary_doc.xml,8/1/2019,"kulaBrands, Inc.",kulaBrands,Financial Services,FinTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$17,507,365 ",,,,17507365,#NAME?,Transactional,B2C,High Growth,Yes,Low,Low,No,"$10,200,000,000 ",#NAME?,"$781,600,000 ",#NAME?,5.40%,#NAME?,12,Low,Low,Obviously worse than others,Low,High,Yes,Yes,Yes,Yes,1258601,#NAME?,4281,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,0,19,1,0,,8,1,0,54,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
