,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Ratings Calculations,,,,,,,Ratings - Price,,,,,,,,,Ratings - Market,,,,,Ratings - Team,,,,,,,,,,,,,,,,Ratings - Business Model,,,,,,,,,Ratings - Performance,,,,,,,,Ratings - Diffrentiation ,,,,,,,,,Overall Ratings (Avg),,,Overall Ratings (Scaled Sum)
writer,cik,company,date_created,platform,platform_url,sec_filing_url,sec_filing_date,legal_name,dba,industry,tech_sector,stage,series,crowdfunding_type_1,crowdfunding_type_2,security_type,rev_share_return_multiple,debt_interest_rate,pre_money_valuation,valuation_cap,discount_rate,revenue_model,distrubution_model,business_type,has_scalable_business_model,margin_level,capital_intensity_level,accelerator_program,market_size_total,market_size_total,market_size_addressable,market_size_addressable,market_growth_rate,market_growth_rate,direct_competitors,differentiation_level_quality,differentiation_level_price,how_is_it_10x_better,barriers_to_entry,threat_of_substitute_products,has_social_impact,has_patents,has_users,has_paying_customers,total_revenue,monthly_burn_rate,prior_rounds_total_amount_raised,prior_rounds_capital_efficiency,development_phase,bio_development_phase,has_partnerships,relevant_partners,founders,has_shared_experience,has_female_founders,has_minority_founders,has_famous_founders,unique_universities,employees,relevent_advisors,notable_investors,spacer founder 1,founder_1_relevant_industry_experience,founder_1_previous_startups,founder_1_exits,founder_1_age,founder_1_graduated_from_top_100,spacer founder 2,founder_2_relevant_industry_experience,founder_2_previous_startups,founder_2_exits,founder_2_age,founder_2_graduated_from_top_100,spacer founder 3,founder_3_relevant_industry_experience,founder_3_previous_startups,founder_3_exits,founder_3_age,founder_3_graduated_from_top_100,spacer founder 4,founder_4_relevant_industry_experience,founder_4_previous_startups,founder_4_exits,founder_4_age,founder_4_graduated_from_top_100,spacer founder 5,founder_5_relevant_industry_experience,founder_5_previous_startups,founder_5_exits,founder_5_age,founder_5_graduated_from_top_100,spacer founder 6,founder_6_relevant_industry_experience,founder_6_previous_startups,founder_6_exits,founder_6_age,founder_6_graduated_from_top_100,spacer founder 7,founder_7_relevant_industry_experience,founder_7_previous_startups,founder_7_exits,founder_7_age,founder_7_graduated_from_top_100,spacer founder 8,founder_8_relevant_industry_experience,founder_8_previous_startups,founder_8_exits,founder_8_age,founder_8_graduated_from_top_100,spacer founder 9,founder_9_relevant_industry_experience,founder_9_previous_startups,founder_9_exits,founder_9_age,founder_9_graduated_from_top_100,,,,,,avg_relevant_industry_experience,sum_founders_previous_startups,sum_exits,avg_age,age_buckets,capital_efficiencies,,Valuation/Cap,Discount Rate,Interest Rate,Return Multiple,Price Rating,Attributes - Security Type,%,Tags - Stage,,Addressable Market Size,Market Growth,Market Rating,Tags - Social Impact,,Relevant Industry Experience,Previous Startups,Exits,Team Rating,Attributes - Founders Age,%,Attributes - # of Founders,%,Attributes - Employees,%,Attributes - Founders Worked Together,%,Tags - Female Founder,Tags - Minority Founder,Tags - Famous Founder,,Attributes - Revenue Model,%,Attributes - Distribution Model,%,Attributes - Margin,%,Attributes - Capital Intensity,%,,Has Paying Customers,Revenue,Capital Efficiency,Capital Raised,Performance Rating,Attribute - Development Phase,%,,Diffrentiation Rating,Attribute - has_patents,%,Attribute - barriers_to_entry,%,Attribute - threat_of_substitute_products,%,,,,,Sum,Overall Ratings (Scaled Sum)
Olivia,1778006,Weeds Never Sleep,07/03/2019 11:08 AM,TruCrowd,https://us.trucrowd.com/equity/offer-summary/WeedsNeverSleep,https://disclosurequest.com/form/weeds-never-sleep-llc/0001778006-19-000001/?returnURL=,6/25/2019,Weeds Never Sleep LLC,Weeds Never Sleep or HotZot,Consumer Goods,AgriTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$2,500,000",0%,Transactional,B2C,Life Style,No,High,High,No,"$16,000,000,000",$10B-$25B,"$1,000,000,000",$1B-$5B,2.7%,0%-10%,6,High,Low,Similar to others,Low,High,No,Yes,No,No,$0,"$10,483",$0,100.00%,Pre-Revenue,,No,0,2,No,Yes,No,No,3,2,3,0,,9,0,0,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,0.00,0.00,50.00,35 - 54,100.00%,,4.9,1.0,,,3.0,SAFE,36.5%,Early,,2.7,1.4,2.1,No,,1.9,1.0,1.0,1.3,35 - 54,67%,2,41%,2,14%,No,73%,Yes,No,No,,Transactional,63%,B2C,40%,High,56%,High,68%,,1.0,1.0,1.0,1.0,1.0,Pre-Revenue,22%,,3.0,Yes,24%,Low,54%,High,83%,,,2.1,,10.3,2.2
Olivia,1720258,StorEn Technologies,07/04/2019 8:55 AM,StartEngine,https://www.startengine.com/storen-technologies,https://www.sec.gov/Archives/edgar/data/1720258/000166516019000762/xslC_X01/primary_doc.xml,7/3/2019,StorEn Technologies,StorEn Technologies,Consumer Goods,CleanTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$28,100,000",,,Transactional,B2C,Life Style,No,High,High,Yes,"$8,000,000,000",$5B-$10B,"$400,000,000",$250M-$500M,38.0%,30%-40%,10,High,Low,Similar to others,High,High,Yes,No,No,No,$0,"$40,745","$659,800",6.18%,Pre-Revenue,,Yes,2,2,Yes,No,No,No,5,4,7,0,,1,0,0,53,No,,15,2,2,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,2.00,2.00,51.50,35 - 54,6.18%,,4.1,,,,4.1,Equity - Common,28.6%,Early,,2.1,2.5,2.3,Yes,,1.8,1.9,3.0,2.2,35 - 54,67%,2,41%,4,13%,Yes,27%,No,No,No,,Transactional,63%,B2C,40%,High,56%,High,68%,,1.0,1.0,4.8,1.1,2.0,Pre-Revenue,22%,,3.0,No,76%,High,46%,High,83%,,,2.7,,13.6,3.5
Olivia,1753677,Palouse Ag-Drone Services,07/11/2019 2:41 PM,Razitall,https://www.razitall.com/pitch/the-ag-drone-an-eye-in-the-sky-for-farmers,https://disclosurequest.com/form/palouse-ag-drone-services-llc/0001668287-18-000070/?returnURL=,10/04/2018,Palouse Ag-Drone Services LLC,The Ag-Drone,Farming,AgriTech,Early,Pre-Seed,RegCF,,CAFES,,,,"$400,000",0%,Transactional,B2C,Life Style,No,High,High,No,"$5,800,000,000",$5B-$10B,"$1,200,000,000",$1B-$5B,31.4%,30%-40%,7,Low,High,Similar to others,Low,High,No,No,No,No,$0,$0,$0,100.00%,Pre-Product,,No,0,1,No,No,No,No,0,1,0,0,,0,0,0,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,45.00,35 - 54,100.00%,,5.0,1.0,,,3.0,CAFES,14.3%,Early,,2.7,2.5,2.6,No,,1.0,1.0,1.0,1.0,35 - 54,67%,1,48%,1,8%,No,73%,No,No,No,,Transactional,63%,B2C,40%,High,56%,High,68%,,1.0,1.0,1.0,1.0,1.0,Pre-Product,24%,,3.0,No,76%,Low,54%,High,83%,,,2.1,,10.6,2.3
Olivia,1765620,El Tinieblo International,07/13/2019 10:14 AM,StartEngine,https://www.startengine.com/el-tinieblo-international,https://www.sec.gov/Archives/edgar/data/1765620/000166516019000777/xslC_X01/primary_doc.xml,7/12/19,"El Tinieblo International, Inc. ",El Tinieblo International,Wine & Spirits,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$7,500,000",,,Transactional,B2B2C,Life Style,No,Low,High,No,"$1,500,000,000",$1B-$5B,"$242,000,000",$100M-$250M,13.0%,10%-20%,240,High,Low,Similar to others,Low,High,No,No,No,No,$0,$564,$0,100.00%,Pre-Revenue,,Yes,1,1,No,No,No,No,1,9,1,0,,0,2,0,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.00,0.00,45.00,35 - 54,100.00%,,4.8,,,,4.8,Equity - Common,28.6%,Early,,1.9,1.7,1.8,No,,1.0,1.9,1.0,1.3,35 - 54,67%,1,48%,9,6%,No,73%,No,No,No,,Transactional,63%,B2B2C,3%,Low,44%,High,68%,,1.0,1.0,1.0,1.0,1.0,Pre-Revenue,22%,,3.0,No,76%,Low,54%,High,83%,,,2.4,,11.8,2.8
Olivia,1777377,Spero CBD,07/16/2019 10:34 AM,StartEngine,https://www.startengine.com/spero-cbd,https://www.sec.gov/Archives/edgar/data/1777377/000166516019000782/xslC_X01/primary_doc.xml,7/15/2019,Noble Naturals,Spero CBD,Cannabis and CBD,Non-Tech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$6,000,000",20%,Transactional,B2C,Life Style,Yes,High,High,No,"$308,000,000,000",$250B-$500B,"$270,000,000",$250M-$500M,44.0%,40%-50%,25,High,Low,Similar to others,High,High,No,No,No,Yes,$140,"$2,380",$0,100.00%,Pre-Profit,,No,0,4,No,Yes,No,No,3,8,1,0,,0,1,0,42,No,,15,0,0,,No,,0,0,0,42,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,1.00,0.00,42.00,35 - 54,100.00%,,4.8,3.1,,,4.0,Convertible Note,12.7%,Early,,2.1,2.8,2.5,No,,1.5,1.4,1.0,1.3,35 - 54,67%,4,5%,8,3%,No,73%,Yes,No,No,,Transactional,63%,B2C,40%,High,56%,High,68%,,5.0,1.0,1.0,1.0,2.0,Pre-Profit,49%,,3.0,No,76%,High,46%,High,83%,,,2.5,,12.7,3.1
Olivia,1654124,Rayton Solar,07/17/2019 10:21 AM,StartEngine,https://www.startengine.com/raytonone,https://www.sec.gov/Archives/edgar/data/1654124/000166516019000786/xslC_X01/primary_doc.xml,7/17/2019,Rayton Solar Inc.,Rayton,Consumer Goods,HardwareTech,Early,Series A,RegCF,,Convertible Note,,,,"$50,000,000",30%,Transactional,B2B,Life Style,No,High,High,No,"$463,000,000,000",$250B-$500B,"$650,000,000",$500M-$1B,11.0%,10%-20%,11,High,High,Obviously better than others,High,Low,No,Yes,No,No,$0,"$214,774","$9,300,000",2.31%,Pre-Product,,No,0,1,No,No,Yes,No,1,5,4,1,,11,1,0,34,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,1.00,0.00,34.00,20 - 34,2.31%,,3.3,4.2,,,3.7,Convertible Note,12.7%,Early,,2.4,1.7,2.1,No,,2.0,1.4,1.0,1.5,20 - 34,22%,1,48%,5,13%,No,73%,No,Yes,No,,Transactional,63%,B2B,22%,High,56%,High,68%,,1.0,1.0,4.9,2.7,2.4,Pre-Product,24%,,5.0,Yes,24%,High,46%,Low,17%,,,2.9,,14.7,3.9
Olivia,1782663,The Human Baton,07/18/2019 1:06 PM,NetCapital,https://netcapital.com/companies/thb,https://www.sec.gov/Archives/edgar/data/1782663/000166919119000236/xslC_X01/primary_doc.xml,7/18/2019,"THB Holdco, LLC.",The Human Baton,Entertainment,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Preferred,,,"$13,916,596",,,Recurring,B2B,Life Style,No,High,High,No,"$2,200,000,000,000",> $1T,"$100,000,000",$100M-$250M,3.5%,0%-10%,100,Low,Low,Similar to others,High,High,No,No,No,No,$0,"$4,492",$0,100.00%,Pre-Product,,No,0,2,Yes,No,No,No,3,11,0,0,,15,0,0,50,No,,15,0,0,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,0.00,0.00,50.00,35 - 54,100.00%,,4.5,,,,4.5,Equity - Preferred,7.9%,Early,,1.9,1.4,1.7,No,,2.4,1.0,1.0,1.5,35 - 54,67%,2,41%,11,3%,Yes,27%,No,No,No,,Recurring,37%,B2B,22%,High,56%,High,68%,,1.0,1.0,1.0,1.0,1.0,Pre-Product,24%,,1.0,No,76%,High,46%,High,83%,,,1.9,,9.7,2.0
Olivia,1782651,Thalia Brands,07/18/2019 1:17 PM,StartEngine,https://www.startengine.com/thalia,https://www.startengine.com/thalia,7/18/2019,"Thalia Brands, Inc.",Thalia Brands,Consumer Goods,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$8,000,000",,,Transactional,B2C,Life Style,No,High,High,No,"$1,000,000,000",$1B-$5B,"$400,000,000",$250M-$500M,3.0%,0%-10%,10,High,Low,Similar to others,Low,High,No,Yes,No,Yes,"$2,183,575","$21,203",$0,100.00%,Profitable,,Yes,1,2,No,Yes,No,No,1,14,1,0,,0,2,0,48,No,,0,0,0,17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.00,0.00,32.50,20 - 34,100.00%,,4.7,,,,4.7,Equity - Common,28.6%,Early,,2.1,1.4,1.8,No,,1.0,1.9,1.0,1.3,20 - 34,22%,2,41%,14,3%,No,73%,Yes,No,No,,Transactional,63%,B2C,40%,High,56%,High,68%,,5.0,1.5,1.0,1.0,2.1,Profitable,5%,,3.0,Yes,24%,Low,54%,High,83%,,,2.6,,12.9,3.2
Olivia,1781955,Dome Audio,07/29/2019 7:49 PM,NetCapital,https://netcapital.com/companies/dome-audio,https://www.sec.gov/Archives/edgar/data/1781955/000166919119000259/xslC_X01/primary_doc.xml,7/29/2019,"Dome Audio, Inc.",Dome Audio,Consumer Elecronics,MediaTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$16,000,000",,,Transactional,B2C,Life Style,No,Low,High,No,"$10,520,000,000",$10B-$25B,"$26,300,000",$25M-$50M,5.9%,0%-10%,10,Low,Low,Similar to others,Low,High,No,Yes,No,No,$0,$0,$0,100.00%,Pre-Revenue,,Yes,3,1,No,No,Yes,No,1,7,1,0,,20,0,0,55,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,0.00,0.00,55.00,55+,100.00%,,4.5,,,,4.5,Equity - Common,28.6%,Early,,1.3,1.4,1.4,No,,2.9,1.0,1.0,1.6,55+,11%,1,48%,7,3%,No,73%,No,Yes,No,,Transactional,63%,B2C,40%,Low,44%,High,68%,,1.0,1.0,1.0,1.0,1.0,Pre-Revenue,22%,,1.0,Yes,24%,Low,54%,High,83%,,,1.9,,9.5,1.9
