id,name,security_type,city,state_name,annual_revenue,business_type,staff_pick,start_date,entity_id,price_rating,market_rating,team_rating,performance_rating,overall_rating,differentiation_rating,overall_average,risk_rating,financials_risk_rating
1,2XL Swagger Brands,Equity - Common,Austin,Texas,325734,277,250,6/5/2020 0:00,55867,1.8,3.1,4.4,3.5,3.7,3.1,3.19,0,0
2,Monetran,Equity - Tokens,Hockessin,Delaware,0,66,250,6/5/2020 0:00,55639,4.8,4.8,1.4,1,2.9,2.5,2.89,0,0
3,Piestro,Equity - Common,Santa Monica,California,0,277,248,6/5/2020 0:00,56026,3.1,3.7,4.2,1,3.7,3.7,3.15,0,0
4,Hundy,Convertible Note,Miami,Florida,26815,66,250,6/5/2020 0:00,55842,3.7,3.7,2.7,2.9,3.3,2.1,3.02,0,0
5,Snailz,SAFE,New York,New York,69932,277,248,6/3/2020 0:00,55599,2.7,3.5,1.8,3.1,2.3,2.5,2.73,0,0
6,Gesture,SAFE,New York,New York,10792,277,250,6/3/2020 0:00,55950,2.7,3.9,1.8,4.4,3.7,3.1,3.19,0,0
7,iGrow Systems,Equity - Common,Miami Beach,Florida,0,65,250,6/3/2020 0:00,56038,3.7,2.5,4.2,1,2.5,2.5,2.77,0,0
9,Millennial Fertility Co.,Equity - Common,Bloomfield Hills,Michigan,3080,277,248,6/2/2020 0:00,55721,1.6,3.7,4.6,2.3,4.6,5,3.44,0,0
10,Coterie Party,Convertible Note,New York,New York,126408,277,250,6/2/2020 0:00,56064,4.2,2.9,2.3,3.9,3.5,2.1,3.06,0,0
11,goDeskless,Convertible Note,Dublin,California,637284,66,247,6/2/2020 0:00,55854,3.3,3.9,4.6,3.9,4.8,1.8,3.53,0,0
14,GetCharged,Equity - Common,New York,New York,0,277,250,6/1/2020 0:00,56034,4.2,4.4,4.8,1,4.6,3.1,3.48,0,0
15,Zeehaus,Equity - Common,San Fransisco,California,0,277,250,6/1/2020 0:00,55611,2.7,2.9,1.8,2.7,2.5,3.7,2.77,0,0
16,Dan Clark Audio,Equity - Common,San Diego,California,1993807,277,248,6/1/2020 0:00,55742,2.7,4.2,3.3,4.2,4.8,3.7,3.61,0,0
17,Contiq,Equity - Preferred,Sunnyvale,California,372000,66,250,6/1/2020 0:00,56086,2.3,3.1,4.4,5,3.9,1.6,3.27,0,0
18,People First RH,SAFE,New York,New York,1050,66,248,6/1/2020 0:00,56029,3.3,4.4,4.4,2.5,4.8,3.1,3.53,0,0
21,Solectrac,Equity - Common,Albion,California,83258,277,248,5/29/2020 0:00,55863,2.7,4.4,5,4.8,5,4.2,4.2,0,0
22,At Your Home,Equity - Common,Silver Spring,Maryland,0,65,250,5/29/2020 0:00,56072,4.6,3.7,5,1,3.9,1.8,3.23,0,0
23,Rentberry,SAFE,San Fransisco,California,4398259,66,250,5/29/2020 0:00,56115,2.7,3.9,2.9,4.4,5,4.8,3.74,0,0
25,Quorum X Diagnostics,SAFE,Tucker,Georgia,0,277,250,5/29/2020 0:00,55868,4.8,2.3,2.9,1,1.8,1.8,2.56,0,0
26,Sleep Better Foundation,SAFE,Los Angeles,California,0,277,249,5/29/2020 0:00,56033,5,3.3,2.1,1,2.5,2.5,2.77,0,0
28,FinTron,Equity - Common,Westport,Connecticut,0,66,250,5/28/2020 0:00,55869,3.7,4.4,1.2,3.3,3.7,3.1,3.15,0,0
29,Carnot Compression,Equity - Common,Scotts Valley,California,811760,277,248,5/28/2020 0:00,55743,1.8,3.3,4.2,3.9,4.4,3.7,3.4,0,0
30,Janover Ventures,SAFE,Boca Raton,Florida,531210,277,250,5/27/2020 0:00,55829,1.4,3.9,4.4,3.7,3.7,2.5,3.19,0,0
32,AquiPor Technologies,Equity - Common,Spokane,Washington,0,277,248,5/26/2020 0:00,56005,1.4,3.5,2.9,3.1,3.3,4.2,3.02,0,0
35,Med-X,Equity - Common,Canoga Park,California,801874,277,249,5/25/2020 0:00,55944,1,3.7,3.5,4.8,3.5,2.5,3.11,0,0
36,Solace,Convertible Note,Portland,Oregon,136760,277,250,5/25/2020 0:00,56092,3.3,3.7,2.9,3.7,4.6,3.7,3.48,0,0
37,Mellow,Convertible Note,Miami Beach,Florida,3457,277,250,5/22/2020 0:00,56094,4.6,1.4,2.7,3.7,4.2,4.2,3.32,0,0
38,Kangaroo,SAFE,New York,New York,475507,66,247,5/22/2020 0:00,56018,1,3.9,3.5,4.8,4.6,4.2,3.48,0,0
