CompanyID,CIK,AddedDate,CloseDate,DaysToClose,WeeksToClose,CompanyStatus,Platform,FundraisingType,EquityType,Industry,Valuation,MinimumInvestment,RoundMinimum,RoundMaximum,Raised,PercentOfGoal,RaisedAmountBucket,SuccessStatus,Investors,CompanyName
195,,2017-09-18,2017-11-24,67,9.6,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Other,,$100,"$100,000","$1,000,000","$3,000",0.3%,#NAME?,#NAME?,14,Asanda Air
192,,2017-09-18,2017-10-30,42,6.0,Failed To Raise,Wefunder,Crowdfunding,Equity,"Medical, Health and Well Being",,$100,"$200,000","$1,000,000","$26,786",2.7%,#NAME?,#NAME?,36,Kumba Health
190,,2017-09-18,2017-11-17,60,8.6,Failed To Raise,Wefunder,Crowdfunding,Equity,Other,,$100,"$200,000","$500,000","$38,000",7.6%,#NAME?,#NAME?,23,Bushel
189,,2017-09-18,2017-12-29,102,14.6,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Sports,,$100,"$50,000","$1,000,000","$80,206",8.0%,#NAME?,#NAME?,168,Blazntech
188,,2017-09-18,2018-02-22,157,22.4,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Other,,$100,"$50,000","$415,000","$84,670",20.4%,#NAME?,#NAME?,149,Rumor
187,,2017-09-18,2017-11-30,73,10.4,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$300,000","$1,000,000",$200,0.0%,#NAME?,#NAME?,2,Cinemadraft
186,,2017-09-18,2017-10-02,14,2.0,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Other,,$100,"$20,000","$99,900","$15,520",15.5%,#NAME?,#NAME?,53,"Block Chaser, Inc."
185,,2017-09-18,2017-11-30,73,10.4,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Other,,$100,"$50,000","$1,000,000","$3,912",0.4%,#NAME?,#NAME?,32,Beachmonkey
184,,2017-09-18,2017-11-19,62,8.9,Failed To Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,$100,"$100,000","$1,000,000","$14,812",1.5%,#NAME?,#NAME?,31,Night Flight
183,,2017-09-18,2018-04-30,224,32.0,Failed To Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,$100,"$250,000","$1,000,000","$10,933",1.1%,#NAME?,#NAME?,27,Designerinc
181,,2017-09-18,2017-11-17,60,8.6,Failed To Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,$300,"$300,000","$1,000,000","$19,352",1.9%,#NAME?,#NAME?,38,Cigloo
180,,2017-09-18,2017-12-29,102,14.6,Successful Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,$100,"$250,000","$1,070,000","$455,121",42.5%,#NAME?,#NAME?,828,Digitally Imported
179,,2017-09-18,2017-11-22,65,9.3,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,"Medical, Health and Well Being",,$100,"$68,000","$1,000,000","$5,400",0.5%,#NAME?,#NAME?,15,Cavu Biotherapies
178,,2017-09-18,2017-12-21,94,13.4,Successful Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$100,"$40,000","$107,000","$51,625",48.2%,#NAME?,#NAME?,67,Maison Marcel
177,,2017-09-18,2017-10-02,14,2.0,Failed To Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$100,"$300,000","$1,000,000","$31,635",3.2%,#NAME?,#NAME?,74,Buying Collective Holdings. Inc.
176,,2017-09-18,2018-01-16,120,17.1,Failed To Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$300,"$150,000","$1,070,000","$12,350",1.2%,#NAME?,#NAME?,17,Exodo Spirits
175,,2017-09-18,2017-10-31,43,6.1,Successful Raise,Wefunder,Crowdfunding,Debt,Other,,$100,"$25,000","$350,000","$189,229",54.1%,#NAME?,#NAME?,159,Urban Junction
174,1712550,2017-09-18,2018-04-30,224,32.0,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$50,000","$1,070,000","$59,165",5.5%,#NAME?,#NAME?,83,Kaliin
173,,2017-09-18,2018-04-30,224,32.0,Successful Raise,Wefunder,Crowdfunding,Equity,"Fashion, Retail ",,"$1,000","$50,000","$230,000","$364,990",158.7%,#NAME?,#NAME?,228,My Trail
172,,2017-09-18,2018-02-01,136,19.4,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Food & Beverage,,$250,"$150,000","$1,000,000","$85,510",8.6%,#NAME?,#NAME?,75,Grit Grocery
171,,2017-09-18,2018-01-30,134,19.1,Failed To Raise,Wefunder,Crowdfunding,Debt,Food & Beverage,,$100,"$25,000","$100,000","$25,850",25.9%,#NAME?,#NAME?,50,Grease Box
170,,2017-09-18,2017-11-30,73,10.4,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Food & Beverage,,$100,"$75,000","$1,000,000","$16,663",1.7%,#NAME?,#NAME?,37,Xtractmor
169,,2017-09-18,2018-03-16,179,25.6,Failed To Raise,Wefunder,Crowdfunding,Debt,Technology/Software,,$100,"$50,000","$500,000","$24,110",4.8%,#NAME?,#NAME?,23,My Joy Yoga
168,1677181,2017-09-18,2018-05-31,255,36.4,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$100,000","$1,000,000","$67,285",6.7%,#NAME?,#NAME?,154,IGENAPPS
167,1701254,2017-09-18,2018-05-31,255,36.4,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$200,"$100,000","$1,000,000","$116,504",11.7%,#NAME?,#NAME?,254,GlobeChat
166,,2017-09-18,2017-10-30,42,6.0,Failed To Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$100,"$50,000","$500,000","$22,851",4.6%,#NAME?,#NAME?,57,Lazy Tree Ranch
165,,2017-09-18,2017-11-19,62,8.9,Failed To Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$250,"$50,000","$800,000","$12,548",1.6%,#NAME?,#NAME?,25,LIQS Cocktail Shot
164,,2017-09-18,2018-01-31,135,19.3,Successful Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$100,"$50,000","$1,000,000","$83,880",8.4%,#NAME?,#NAME?,119,Chicago Steak Company
163,,2017-09-18,2017-10-23,35,5.0,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Food & Beverage,,$100,"$100,000","$1,000,000","$24,932",2.5%,#NAME?,#NAME?,34,Quila Maria's Tequila RIA
162,,2017-09-18,2017-12-20,93,13.3,Failed To Raise,Wefunder,Crowdfunding,Equity,Retail ,,$100,"$50,000","$1,070,000","$22,989",2.1%,#NAME?,#NAME?,56,Rock.com
161,1673998,2017-09-18,2018-04-30,224,32.0,Successful Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$140,"$100,000","$1,000,000","$627,340",62.7%,#NAME?,#NAME?,619,Texas Beer Co
160,,2017-09-18,2017-10-21,33,4.7,Successful Raise,Wefunder,Crowdfunding,Debt,Fashion,,$100,"$100,000","$1,000,000","$217,955",21.8%,#NAME?,#NAME?,382,Ridgemont Outfitters
159,,2017-09-18,2017-12-31,104,14.9,Successful Raise,Wefunder,Crowdfunding,Debt,Other,,$250,"$50,000","$1,000,000","$116,471",11.6%,#NAME?,#NAME?,202,Payroll4Free.com
157,,2017-09-18,2018-04-30,224,32.0,Successful Raise,Wefunder,Crowdfunding,Debt,Food & Beverage,,$100,"$50,000","$100,000","$155,030",155.0%,#NAME?,#NAME?,237,Avua Cachaca
156,,2017-09-18,2018-04-30,224,32.0,Successful Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,$100,"$100,000","$1,070,000","$264,485",24.7%,#NAME?,#NAME?,332,ModBook
155,,2017-09-18,2018-02-01,136,19.4,Successful Raise,Wefunder,Crowdfunding,Equity,"Medical, Health and Well Being",,$500,"$50,000","$1,000,000","$149,551",15.0%,#NAME?,#NAME?,177,I-PASS Pateint Safety Institute
154,,2017-09-18,2017-10-20,32,4.6,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Food & Beverage,,$100,"$100,000","$1,000,000","$238,569",23.9%,#NAME?,#NAME?,293,Epec - James F.C. Hyde
153,,2017-09-18,2017-09-29,11,1.6,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,"Medical, Health and Well Being",,$100,"$200,000","$1,000,000","$414,744",41.5%,#NAME?,#NAME?,638,BioClonetics
152,,2017-09-18,2017-11-17,60,8.6,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$75,000","$107,000","$91,070",85.1%,#NAME?,#NAME?,117,Ganaz
151,,2017-09-18,2018-03-23,186,26.6,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$150,000","$1,070,000","$192,297",18.0%,#NAME?,#NAME?,211,Spacefab
150,,2017-09-18,2017-11-03,46,6.6,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Fashion,,$100,"$250,000","$1,000,000","$358,518",35.9%,#NAME?,#NAME?,451,Vaute
149,,2017-09-18,2017-11-22,65,9.3,Successful Raise,Wefunder,Crowdfunding,Debt,Food & Beverage,,$100,"$50,000","$107,000","$100,195",93.6%,#NAME?,#NAME?,110,Eliot's Adult Nut Butter
148,,2017-09-18,2017-10-31,43,6.1,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Sports,,$100,"$50,000","$1,070,000","$284,720",26.6%,#NAME?,#NAME?,461,Recoup Fitness
147,,2017-09-18,2017-11-01,44,6.3,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$200,"$50,000","$1,070,000","$1,024,729",95.8%,#NAME?,#NAME?,"1,684",Scrap Connection
146,,2017-09-18,2017-11-22,65,9.3,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Other,,$500,"$250,000","$1,070,000","$851,904",79.6%,#NAME?,#NAME?,343,Neurohacker Collective
145,1705123,2017-09-18,2018-04-30,224,32.0,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$100,000","$1,070,000","$173,699",16.2%,#NAME?,#NAME?,260,Trebel Music
144,1701225,2017-09-18,2017-10-28,40,5.7,Successful Raise,Wefunder,Crowdfunding,Revenue Share,Technology/Software,,$100,"$100,000","$309,000","$308,900",100.0%,#NAME?,#NAME?,498,That Christmas Movie
143,,2017-09-18,2017-11-22,65,9.3,Successful Raise,Wefunder,Crowdfunding,Debt,Food & Beverage,,$100,"$100,000","$500,000","$500,000",100.0%,#NAME?,#NAME?,579,Boardwalk Hospitality
137,,2017-09-18,2018-01-12,116,16.6,Failed To Raise,StartEngine,Crowdfunding,Equity,Other,,$100,"$10,000","$107,000","$2,200",2.1%,#NAME?,#NAME?,12,Go Fish Market
136,,2017-09-18,2017-10-28,40,5.7,Failed To Raise,StartEngine,Crowdfunding,Equity,Other,,$100,"$10,000","$105,000","$4,600",4.4%,#NAME?,#NAME?,13,Big Picture Artists
135,,2017-09-18,2017-10-29,41,5.9,Successful Raise,StartEngine,Crowdfunding,Equity,Other,,$100,"$10,000","$500,000","$47,364",9.5%,#NAME?,#NAME?,215,Spendwith
